"volume","chapter","japanese_title","romanized_title","viz_title","pages","release_date","anime"
"5",37,"海賊""百計のクロ""","Kaizoku ""Hyakkei no Kuro""","""Captain Kuro, Of The Thousand Plans""",19,1998-04-20,"Episode 46 (p. 1)Episode 15 (p. 2-19)"
"5",38,"海賊団","Kaizokudan","Pirate Crew",20,1998-04-27,"Episode 16 (p. 2-20)"
"5",39,"誰が為に鐘は鳴る","Taga Tame ni Kane wa Naru","For Whom the Bell Tolls",19,1998-05-11,"Episode 46 (p. 1)Episode 16 (p. 2-12)Episode 17 (p. 13-19)"
"5",40,"ウソップ海賊団","Usoppu Kaizokudan","Usopp's Pirate Crew",19,1998-05-18,"Episode 46 (p. 1)Episode 17 (p. 2-19)"
"5",41,"海へ","Umi-e","To the Sea",18,1998-05-25,"Episode 17 (p. 2-18)"
"5",42,"ヨサクとジョニー","Yosaku to Jonī","Yosaku and Johnny",19,1998-06-01,"Episode 46 (p. 1)Episode 18 (p. 2-3)Episode 19 (p. 4-12)Episode 20 (p. 13-19)"
"5",43,"サンジ登場","Sanji Tōjō","Sanji",19,1998-06-08,"Episode 46 (p. 1)Episode 20 (p. 2-19)"
"5",44,"三人のコック","Sannin no Kokku","Three Tough Cooks",20,1998-06-15,"Episode 21 (p. 2-20)"
"6",45,"嵐前","Arashi Mae","Before the Storm",18,1998-06-22,"Episode 21 (p. 2-18)"
"6",46,"招かれざる客","Manekarezaru Kyaku","An Uninvited Guest",19,1998-06-29,"Episode 46 (p. 1)Episode 22 (p. 2-19)"
"6",47,"海賊艦隊提督""首領･クリーク""","Kaizoku Kantai Teitoku ""Don Kurīku""","The Don's Offer",19,1998-07-06,"Episode 46 (p. 1)Episode 22 (p. 2-19)"
"6",48,"その航路、やめときな","Sono Kōro, Yametoki na","Steer Clear",19,1998-07-13,"Episode 46 (p. 1)Episode 23 (p. 2-19)"
"6",49,"嵐","Arashi","Storm",18,1998-07-18,"Episode 23 (p. 2-18)"
"6",50,"己々が路","Onoono ga Michi","A Parting of Ways",19,1998-07-27,"Episode 46 (p. 1)Episode 24 (p. 2-18)Episode 29 (p. 19)"
"6",51,"ロロノア・ゾロ海に散る","Roronoa Zoro Umi ni Chiru","Zolo Overboard",19,1998-08-03,"Episode 46 (p. 1)Episode 24 (p. 2-19)"
"6",52,"誓い","Chikai","The Oath",20,1998-08-10,"Episode 24 (p. 1, 4-20)"
"6",53,"サバガシラ1号","Sabagashira Ichi-Gō","Mackerel Head",19,1998-08-24,"Episode 46 (p. 1)Episode 25 (p. 2-19)"
"7",54,"パールさん","Pāru-san","Pearl",19,1998-08-31,"Episode 46 (p. 1)Episode 25 (p. 2-19)"
"7",55,"JUNGLE BLOOD","Janguru Buraddo","Jungle Blood",19,1998-09-07,"Episode 47 (p. 1)Episode 25 (p. 2-19)"
"7",56,"やなこった","Ya na Kotta","I Refuse",20,1998-09-14,"Episode 26 (p. 2-20)"
"7",57,"夢在るがゆえ","Yumearu ga Yue","If You Have a Dream",19,1998-09-21,"Episode 47 (p. 1)Episode 26 (p. 2-19)"
"7",58,"クソジジイ","Kuso Jijī","Crap-Geezer",19,1998-09-28,"Episode 47 (p. 1)Episode 26 (p. 2-19)"
"7",59,"恩","On","Sanji's Debt",19,1998-10-05,"Episode 47 (p. 1)Episode 26 (p. 2-10)Episode 27 (p. 11-19)"
"7",60,"ケジメ","Kejime","Resolution",19,1998-10-12,"Episode 47 (p. 1)Episode 27 (p. 2-19)"
"7",61,"鬼","Oni","The Demon",20,1998-10-19,"Episode 27 (p. 1, 4-20)"
"7",62,"M･H･5","Emu-Eichi-Fuaibu","MH5",19,1998-10-26,"Episode 47 (p. 1)Episode 27 (p. 2-15)Episode 28 (p. 16-19)"
"8",63,"死なねェよ","Shinanē yo","I Won't Die",19,1998-11-02,"Episode 47 (p. 1)Episode 28 (p. 2-19)"
"8",64,"大戦槍","Daisensō","The Mighty Battle Spear",17,1998-11-09,"Episode 28 (p. 2-18)"
"8",65,"覚悟","Kakugo","Prepared",19,1998-11-16,"Episode 47 (p. 1)Episode 29 (p. 2-19)"
"8",66,"噛み殺した槍","Kami Koroshita Yari","The Chewed-up Spear",19,1998-11-21,"Episode 47 (p. 1)Episode 29 (p. 2-19)"
"8",67,"SOUP","Sūpu","The Soup",19,1998-11-30,"Episode 47 (p. 1)Episode 30 (p. 2-19)"
"8",68,"4人目","Yoninme","The Fourth Person",19,1998-12-07,"Episode 47 (p. 1)Episode 30 (p. 2-19)"
"8",69,"アーロンパーク","Āron Pāku","Arlong Park",20,1998-12-19,"Episode 31 (p. 2-20)"
"8",70,"男ウソップ大冒険","Otoko Usoppu no Daibōken","The Great Adventure of Usopp the Man",21,1999-01-04,"Episode 31 (p. 2-12)Episode 32 (p. 13-19)"
"8",71,"万物の霊長","Banbutsu no Reichō","Lords of All Creation",19,1999-01-11,"Episode 47 (p. 1)Episode 32 (p. 2-4, 9-19)Episode 31 (p. 5-8)"
"9",72,"分相応","Bunsōō","Proper Living",19,1999-01-18,"Episode 47 (p. 1)Episode 32 (p. 2-19)"
"9",73,"""偉大なる航路""から来た怪物","""Gurando Rain"" Kara Kita Kaibutsu","Monsters of the Grand Line",19,1999-01-25,"Episode 47 (p. 1)Episode 33 (p. 2-5, 14-19)Episode 32 (p. 5-13)"
"9",74,"仕事","Bijinesu","Business",19,1999-02-01,"Episode 47 (p. 1)Episode 33 (p. 2-19)"
"9",75,"海図と魚人","Kaizu to Gyojin","Of Maps and Fish-Men",19,1999-02-08,"Episode 47 (p. 1)Episode 33 (p. 2-7)Episode 34 (p. 8-19)"
"9",76,"ねる","Neru","Sleep",19,1999-02-15,"Episode 34 (p. 2-19)"
"9",77,"夢の一歩","Yume no Ippo","The First Step Toward a Dream",19,1999-02-22,"Episode 34 (p. 2-3)Episode 35 (p. 4-18)"
"9",78,"ベルメールさん","Berumēru-san","Bell-mère",19,1999-03-01,"Episode 35 (p. 2-4)Episode 36 (p. 5-19)"
"9",79,"生きる","Ikiru","To Live",19,1999-03-08,"One Piece: The Movie (p. 1-2)Episode 36 (p. 3-19)"
"9",80,"罪は罪","Tsumi wa Tsumi","A Thief is a Thief",19,1999-03-15,"Episode 36 (p. 2-9)Episode 37 (p. 10-19)"
"9",81,"涙","Namida","Tears",19,1999-03-20,"Episode 37 (p. 2-19)"
"10",82,"OK, Let's STAND UP!","Ōkē, Rettsu, Sutan Dappu!","OK, Let's STAND UP!",19,1999-03-29,"Episode 38 (p. 2-19)"
"10",83,"ルフィ IN BLACK","Rufi In Burakku","Luffy in Black",19,1999-04-05,"Episode 68 (p. 1)Episode 38 (p. 2-19)"
"10",84,"ゾンビ","Zonbi","Zombie",19,1999-04-12,"Episode 68 (p. 1)Episode 39 (p. 2-19)"
"10",85,"三刀流対六刀流","Santōryū tai Rokutōryū","Three Swords vs. Six",19,1999-04-19,"Episode 68 (p. 1)Episode 39 (p. 2-19)"
"10",86,"騎士道VS魚人空手","Kishidō VS Gyojin Karate","Heroism vs. Fish-Man Cruelty",20,1999-04-26,"Episode 39 (p. 2-6)Episode 40 (p. 7-20)"
"10",87,"終わったんだ!!","Owattanda!!","It's All Over!!",19,1999-05-10,"Episode 68 (p. 1)Episode 40 (p. 2-19)"
"10",88,"死んで!!!","Shinde!!!","Die!!!",19,1999-05-17,"Episode 68 (p. 1)Episode 40 (p. 2-10)Episode 41 (p. 11-19)"
"10",89,"交替","Kōtai","Trade-Off",19,1999-05-24,"Episode 68 (p. 1)Episode 41 (p. 2-19)"
"10",90,"何ができる","Nani ga Dekiru","What Can You Do?",19,1999-05-31,"Episode 68 (p. 1)Episode 41 (p. 2-7)Episode 42 (p. 8-19)"
"11",91,"DARTS","Dātsu","DARTS",19,1999-06-07,"Episode 68 (p. 1)Episode 42 (p. 2-19)"
"11",92,"幸せ","Shiawase","Happiness",19,1999-06-14,"Episode 68 (p. 1)Episode 42 (p. 2-19)"
"11",93,"下へまいります","Shita e Mairimasu","Going Down",19,1999-06-21,"Episode 68 (p. 1)Episode 43 (p. 2-19)"
"11",94,"2人目","Futarime","The Other Villain",17,1999-06-28,"Episode 43 (p. 2-17)"
"11",95,"まわれ風車","Maware Kazaguruma","Spin, Pinwheel",19,1999-07-05,"Episode 68 (p. 1)Episode 44 (p. 2-19)"
"11",96,"東一番の悪","Higashi Ichiban no Waru","The Meanest Man in the East",19,1999-07-12,"Episode 68 (p. 1)Episode 45 (p. 2-10, 15-18)Episode 48 (p. 11-14)"
"11",97,"三代鬼徹","Sandai Kitetsu","Kitetsu III",19,1999-07-19,"Episode 68 (p. 1)Episode 48 (p. 2-4)Episode 49 (p. 5-19)"
"11",98,"暗雲","An'un","Dark Clouds",19,1999-07-26,"Episode 68 (p. 1)Episode 51 (p. 2)Episode 52 (p. 3-19)"
"11",99,"ルフィが死んだ","Rufi ga Shinda","Luffy Died",19,1999-08-02,"Episode 68 (p. 1)Episode 52 (p. 2-19)"
"12",100,"伝説は始まった","Densetsu wa Hajimatta","The Legend Begins",24,1999-08-09,"Episode 52 (p. 1)Episode 53 (p. 4-24)"
"12",101,"リヴァース･マウンテン","Rivāsu Maunten","Reverse Mountain",19,1999-08-23,"Episode 68 (p. 1)Episode 61 (p. 2-4, 11-19)Episode 55 (p. 5-10)"
"12",102,"さて、偉大なる航路","Sate, Gurando Rain","Now, The Grand Line",19,1999-08-30,"Episode 68 (p. 1)Episode 62 (p. 2-18)"
"12",103,"クジラ","Kujira","The Whale",20,1999-09-06,"Episode 62 (p. 2-20)"
"12",104,"約束の岬","Yakusoku no Misaki","Cape Promise",19,1999-09-13,"Episode 68 (p. 1)Episode 63 (p. 2-19)"
"12",105,"記録指針","Rogu Pōsu","Log Pose",19,1999-09-20,"Episode 68 (p. 1)Episode 63 (p. 2-19)"
"12",106,"歓迎の町","Kangei no Machi","The Town of Welcome",19,1999-09-27,"Episode 68 (p. 1)Episode 64 (p. 2-19)"
"12",107,"月光と墓標","Gekkō to Bohyō","Moonlight and Tombstones",18,1999-10-04,"Episode 64 (p. 3-13)Episode 65 (p. 14-18)"
"12",108,"100人の賞金稼ぎ","Hyakunin no Shōkin Kasegi","100 Bounty Hunters",19,1999-10-09,"Episode 68 (p. 1)Episode 65 (p. 2-19)"
"13",109,"責任問題","Sekinin Mondai","A Question of Duty",19,1999-10-18,"Episode 68 (p. 1)Episode 65 (p. 2-19)"
"13",110,"夜は終わらない","Yoru wa Owaranai","The Night Isn't Over",19,1999-10-25,"Episode 68 (p. 1)Episode 65 (p. 2-15)Episode 66 (p. 16-19)"
"13",111,"秘密犯罪会社","Himitsu Hanzai Gaisha","The Secret Criminal Organization",18,1999-11-01,"Episode 66 (p. 2-18)"
"13",112,"ルフィVSゾロ","Rufi VS Zoro","Luffy vs. Zolo",19,1999-11-08,"Episode 68 (p. 1)Episode 66 (p. 2-19)"
"13",113,"大丈夫!!!","Daijōbu!!!","It's All Right!!!",19,1999-11-15,"Episode 68 (p. 1)Episode 67 (p. 2-19)"
"13",114,"進路","Shinro","The Course",19,1999-11-22,"Episode 69 (p. 1)Episode 67 (p. 2-19)"
"13",115,"冒険のリトルガーデン","Bōken no Ritoru Gāden","Little Garden of Adventure",19,1999-12-06,"Episode 69 (p. 1)Episode 70 (p. 2-19)"
"13",116,"でっけェ","Dekkē","Big",19,1999-12-13,"Episode 69 (p. 1)Episode 71 (p. 2-19)"
"13",117,"ドリーとブロギー","Dorī to Burogī","Dorry and Broggy",19,1999-12-20,"Episode 70 (p. 2-4)Episode 72 (p. 5-18)"
"14",118,"誰かいる","Dareka Iru","Someone's Out There",19,2000-01-03,"Episode 69 (p. 1)Episode 72 (p. 2-10, 18-19)Episode 71 (p. 11-17)"
"14",119,"姑息","Kosoku","Deadly Improvisation",19,2000-01-17,"Episode 69 (p. 1)Episode 73 (p. 2-19)"
"14",120,"赤鬼が泣いた","Akaoni ga Naita","The Red Ogre Weeps",19,2000-01-24,"Episode 73 (p. 2-19)"
"14",121,"わかっていた","Wakatteita","I Knew",19,2000-01-31,"Episode 74 (p. 2-19)"
"14",122,"死人は役に立たぬ","Shinin wa Yaku ni Tatanu","A Dead Body is Useless",19,2000-02-07,"Episode 74 (p. 2-19)"
"14",123,"ルフィ VS Mr. 3","Rufi VS Misutā Surī","Luffy vs. Mr. 3",19,2000-02-14,"Episode 75 (p. 2-19)"
"14",124,"お茶がうめェ","Ocha ga Umē","The Tea is Good",19,2000-02-21,"Episode 75 (p. 2-16)Episode 76 (p. 17-19)"
"14",125,"キャンドルチャンピオン","Kyandoru Chanpion","Candle Champion",19,2000-02-28,"Episode 76 (p. 2-19)"
"14",126,"本能","Honnō","Instinct",19,2000-03-06,"Episode 76 (p. 2-19)"
"15",127,"電伝虫","Dendenmushi","Snail-o-Phone",19,2000-03-13,"Episode 77 (p. 2-19)"
"15",128,"海賊旗（ほこり）","Hokori","Pirate Pride",20,2000-03-18,"Episode 77 (p. 7-21)Episode 79 (p. 2-6)"
"15",129,"まっすぐ!!!","Massugu!!!","Straight Ahead!!!",21,2000-03-27,"Episode 77 (p. 2-9)Episode 78 (p. 10-21)"
"15",130,"最高速度","Saikō Sokudo","Maximum Speed",19,2000-04-03,"Episode 78 (p. 2-3)Episode 79 (p. 4-19)"
"15",131,"ブリキのワポル","Buriki no Waporu","Wapol of Tin",19,2000-04-10,"Episode 79 (p. 2-19)"
"15",132,"ね","Ne","See?",19,2000-04-17,"Episode 79 (p. 2-15)Episode 80 (p. 16-19)"
"15",133,"名もなき国の冒険","Na mo Naki Kuni no Bōken","Adventure in a Nameless Country",20,2000-04-24,"Episode 80 (p. 2-21)"
"15",134,"Dr.くれは","Dokutā Kureha","Dr. Kureha",19,2000-05-08,"Episode 80 (p. 2-11)Episode 81 (p. 12-19)"
"15",135,"ラパーン","Rapān","Lapins",19,2000-05-15,"Episode 81 (p. 2-19)"
"15",136,"ドルトンという男","Doruton to Iu Otoko","A Man Named Dalton",19,2000-05-22,"Episode 82 (p. 2-19)"
"16",137,"雪崩","Nadare","Avalanche",20,2000-05-29,"Episode 82 (p. 2-21)"
"16",138,"頂上","Chōjō","The Summit",19,2000-06-05,"Episode 83 (p. 2-19)"
"16",139,"トニートニー･チョッパー登場","Tonī Tonī Choppā Tōjō","Enter Tony Tony Chopper",19,2000-06-12,"Episode 83 (p. 2-11)Episode 84 (p. 12-19)"
"16",140,"雪の住む城","Yuki no Sumu Shiro","The Castle of Snow",19,2000-06-19,"Episode 84 (p. 3-18)Episode 85 (p. 18-19)"
"16",141,"ヤブ医者","Yabu Isha","Quack Doctor",19,2000-06-26,"Episode 83 (p. 2-3)Episode 85 (p. 10-19)Episode 86 (p. 4-5)Episode 87 (p. 6-9)"
"16",142,"ドクロと桜","Dokuro to Sakura","Skull and Cherry Blossoms",19,2000-07-03,"Episode 85 (p. 2-3, 9-19)Episode 91 (p. 4-8)"
"16",143,"不器用","Bukiyō","Clumsy",19,2000-07-10,"Episode 85 (p. 2-8)Episode 86 (p. 9-19)"
"16",144,"雪物語","Yuki Monogatari","Snowy Tale",19,2000-07-17,"Episode 86 (p. 2-19)"
"16",145,"受け継がれる意志","Uketsugareru Ishi","Carrying on His Will",19,2000-07-24,"Episode 86 (p. 2-17)Episode 87 (p. 18-19)"
"17",146,"国防戦","Kokubōsen","Battle to Defend the Kingdom",19,2000-07-31,"Episode 87 (p. 2-19)"
"17",147,"ウソッパチ","Usoppachi","Frauds",19,2000-08-07,"Believe (p. 1-2)Episode 88 (p. 3-4, 12-14)Episode 87 (p. 5-11, 15-19)"
"17",148,"折れない","Orenai","Unbreakable",19,2000-08-21,"Episode 88 (p. 2-4, 11-19)Episode 87 (p. 5-10)"
"17",149,"RUMBLE!!","Ranburu!!","RUMBLE!!",19,2000-08-28,"Episode 88 (p. 2-19)"
"17",150,"ロイヤルドラムクラウン7連散弾ブリキング大砲","Roiyaru Doramu Kuraun Nana-ren Shotto Burikingu Kyanon","Royal Drum Crown 7-Shot Tin Tyrant Cannon",19,2000-09-04,"Episode 88 (p. 2-5)Episode 89 (p. 6-19)"
"17",151,"ドラムの空","Doramu no Sora","The Skies of Drum",19,2000-09-11,"Episode 89 (p. 2-19)"
"17",152,"満月","Mangetsu","Full Moon",19,2000-09-18,"Episode 89 (p. 3-9)Episode 90 (p. 10-19)"
"17",153,"ヒルルクの桜","Hiruruku no Sakura","Hiriluk's Cherry Blossoms",19,2000-09-25,"Episode 90 (p. 2-19)"
"17",154,"アラバスタへ","Arabasuta e","To Alabasta",19,2000-10-02,"Episode 91 (p. 2-19)"
"17",155,"""海賊""サー･クロコダイル","""Kaizoku"" Sā Kurokodairu","""Pirate"" Sir Crocodile",19,2000-10-07,"Episode 92 (p. 2-13)Episode 91 (p. 14-19)"
"18",156,"オカマ日和","Okama Biyori","Oh Come My Way Days",19,2000-10-16,"Episode 92 (p. 2-19)"
"18",157,"エース登場","Ēsu Tōjō","Ace Arrives",19,2000-10-23,"Episode 92 (p. 2-10)Episode 94 (p. 12-17)"
"18",158,"上陸のアラバスタ","Jōriku no Arabasuta","Landing in Alabasta",19,2000-10-30,"Episode 93 (p. 2-3, 14-16)Episode 94 (p. 4-13)"
"18",159,"来いよ","Koi yo","Come On",19,2000-11-06,"Episode 95 (p. 2-4, 7-12, 14-19)Episode 96 (p. 5-6)Episode 101 (p. 13)"
"18",160,"スパイダーズカフェに８時","Supaidāzu Kafe ni Hachi-ji","Spiders Café at Eight O'Clock",19,2000-11-13,"Episode 103 (p. 3, 6-19)Episode 96 (p. 4)"
"18",161,"緑の町エルマル","Midori no Machi Erumaru","The Green City Erumalu",19,2000-11-20,"Episode 96 (p. 2-19)"
"18",162,"砂の国の冒険","Suna no Kuni no Bōken","Adventure in the Kingdom of Sand",19,2000-11-27,"Episode 97 (p. 2-14)Episode 98 (p. 15-16)Episode 103 (p. 18)"
"18",163,"反乱軍の町ユバ","Hanran-Gun no Machi Yuba","Yuba, the Town of Rebels",19,2000-12-04,"Episode 103 (p. 2-7)Episode 100 (p. 8-19)"
"18",164,"国が好き","Kuni ga Suki","I Love My Country",19,2000-12-11,"Episode 100 (p. 2-16)Episode 103 (p. 17-19)"
"18",165,"作戦名ユートピア","Sakusenmei Yūtopia","Operation Utopia",18,2000-12-18,"Episode 103 (p. 2-3)Episode 104 (p. 4-18)"
"18",166,"ルフィ VS ビビ","Rufi VS Bibi","Luffy vs. Vivi",19,2001-01-04,"Episode 104 (p. 2-19)"
"19",167,"戦線","Sensen","Battle Front",19,2001-01-15,"Episode 105 (p. 2-19)"
"19",168,"夢の町 レインベース","Yume no Machi Reinbēsu","Rainbase, The Town of Dreams",19,2001-01-22,"Episode 105 (p. 2-19)"
"19",169,"王国最強の戦士","Ōkoku Saikyō no Senshi","The Kingdom's Strongest Warrior",19,2001-01-29,"Episode 106 (p. 2-19)"
"19",170,"始まる","Hajimaru","Beginning",19,2001-02-05,"Episode 106 (p. 2-19)"
"19",171,"反乱軍統率者コーザ","Hanran-Gun Rīdā Kōza","Koza, Leader of the Rebels",19,2001-02-10,"Episode 107 (p. 2-19)"
"19",172,"反乱","Uneri","Rebellion",19,2001-02-26,"Episode 107 (p. 2-17)Episode 108 (p. 18-19)"
"19",173,"バナナワニ","Bananawani","Bananagator",19,2001-03-05,"Episode 108 (p. 2-19)"
"19",174,"Mr. プリンス","Misutā Purinsu","Mr. Prince",19,2001-03-12,"Episode 108 (p. 2-19)"
"19",175,"解放","Kaihō","Release",19,2001-03-19,"Episode 109 (p. 2-19)"
"19",176,"Rush!!","Rasshu!!","Rush",19,2001-03-26,"Episode 109 (p. 2-14)Episode 110 (p. 15-19)"
"20",177,"3000万 vs 8100万","Sanzenman vs Hassenhyakuman","30 Million vs. 81 Million",19,2001-04-02,"Episode 110 (p. 2-19)"
"20",178,"LEVEL G.L.","Reberu Gurandorain","Grand Line Level",19,2001-04-09,"Episode 110 (p. 2-19)"
"20",179,"決戦はアルバーナ","Kessen wa Arubāna","Showdown at Alubarna",19,2001-04-16,"Episode 111 (p. 2-19)"
"20",180,"アラバスタ動物ランド","Arabasuta Dōbutsu Rando","Alabasta Animal Land",19,2001-04-23,"Episode 111 (p. 2-17)Episode 112 (p. 18-19)"
"20",181,"超カルガモクイズ","Chōkarugamo Kuizu","Super Sonic Duck Quiz",19,2001-05-07,"Episode 112 (p. 2-19)"
"20",182,"怒号","Dogō","Roar",19,2001-05-14,"Episode 112 (p. 2-17)Episode 113 (p. 18-19)"
"20",183,"カルー隊長","Karū-Taichō","Squadron Leader Karoo",19,2001-05-21,"Episode 112 (p. 2)Episode 113 (p. 3-19)"
"20",184,"モグラ塚４番街","Mogurazuka Yonban-gai","Moletown Block Four",19,2001-05-28,"Episode 113 (p. 2-13)Episode 114 (p. 14-19)"
"20",185,"へーそう","Hē Sō","Oh... Is That So?",19,2001-06-04,"Episode 114 (p. 2-19)"
"20",186,"4","Fō","4",19,2001-06-11,"Crazy Rainbow (p. 1-2)Episode 114 (p. 3-5)Episode 115 (p. 6-19)"
"21",187,"互角","Gokaku","Stalemate",19,2001-06-18,"Episode 115 (p. 2-19)"
"21",188,"オカマ拳法","Okama Kenpō","Oh Come My Way Karate",19,2001-06-25,"Episode 115 (p. 2-3)Episode 116 (p. 4-19)"
"21",189,"2","Tsū","2",19,2001-07-02,"Episode 116 (p. 2-19)"
"21",190,"天候棒","Kurima Takuto","Climate Baton",19,2001-07-09,"Episode 116 (p. 2-10)Episode 117 (p. 11-19)"
"21",191,"天候を操る女","Tenkō o Ayatsuru Onna","She Who Controls The Weather",19,2001-07-16,"Episode 117 (p. 2-19)"
"21",192,"旋風注意報","Senpū Chūi Hō","Tornado Warning",19,2001-07-23,"Episode 118 (p. 2, 8-19)Episode 117 (p. 3-7)"
"21",193,"理想郷","Risōkyō","Utopia",19,2001-07-30,"Episode 118 (p. 2-19)"
"21",194,"鉄を斬る","Tetsu o Kiru","Cutting Steel",18,2001-08-06,"Episode 119 (p. 2-18)"
"21",195,"Mr. 武士道","Misutā Bushidō","Mr. Bushidō",21,2001-08-20,"Episode 119 (p. 2-21)"
"22",196,"1","Wan","1",19,2001-08-27,"Episode 120 (p. 2-19)"
"22",197,"統率者達","Tōsotsushatachi","The Leaders",19,2001-09-03,"Episode 120 (p. 2-19)"
"22",198,"午後四時十五分","Gogo Yo-ji Jūgo-fun","4:15 PM",19,2001-09-10,"Grand Battle! 2 (p. 1-2)Episode 121 (p. 3-19)"
"22",199,"HOPE!!","Hōpu!!","Hope!!",19,2001-09-17,"Episode 121 (p. 2-19)"
"22",200,"水ルフィ","Mizu Rufi","Water Luffy",19,2001-09-22,"Episode 122 (p. 2-19)"
"22",201,"ニコ ・ ロビン","Niko Robin","Nico Robin",19,2001-10-01,"BON VOYAGE! (p. 1-2)Episode 122 (p. 3-19)"
"22",202,"王家の墓","Ōke no Haka","The Royal Mausoleum",19,2001-10-06,"Episode 123 (p. 2-19)"
"22",203,"ワニっぽい","Wanippoi","Crocodile-ish",19,2001-10-15,"Episode 123 (p. 2-19)"
"22",204,"RED","Reddo","RED",19,2001-10-22,"Episode 124 (p. 2-19)"
