"title","author","rank_score","rating","n_reviews","n_pages","year","first_published","publisher","characters","language","series","setting","description"
"Supernova: Ksatria, Puteri, dan Bintang Jatuh","Dee Lestari",14073,3.84,1276,321,2001,NA,"Truedee Books",NA,"Indonesian","Supernova #1",NA,"Dhimas dan Ruben adalah dua orang mahasiswa yang tengah menuntut ilmu di negeri Paman Sam. Dhimas kuliah di Goerge Washinton University, dan Ruben di John Hopkins Medical School. Mereka bertemu dalam suatu pesta yang meriah, yang diadakan oleh perkumpulan mahasiswa yang bersekolah di Amrik. Pertama kali bertemu mereke terlibat dalam percakapan yang saling menyudutkan satu"
"Ayat-Ayat Cinta","Habiburrahman El-Shirazy",13862,3.84,1408,418,2007,2004,"Republika-Basmala","Mariecke, Fahri bin Abdullah Shiddiq, Aisha, Nurul, Noura...more, Fahri...less","Indonesian","Ayat-Ayat Cinta #1","Egypt","Tentang seorang pemuda Indonesia yang mencari ilmu jauh di tanah Arab. Berbekal iman yang kuat dan ketabahan, Fahri mengalami banyak hal yang menggetarkan hidupnya, yang sesaat membuat Fahri mempertanyakan jalan hidupnya. Kesabaran dan keimanan adalah kunci kehidupan. Fahri, Aisyah dan Maria membuktikannya dalam cerita yang halus dan mengalir."
"Catatan Seorang Demonstran","Soe Hok Gie",13735,4.08,336,415,2005,NA,"Pustaka LP3ES Indonesia",NA,"Indonesian",NA,NA,"Buku yang berisi pemikiran - pemikiran (alm.) Soe Hok Gie, mahasiswa Jurusan Sejarah FSUI. Disusun lewat pengumpulan karya - karya tulisan Gie, baik di jurnal hariannya, maupun dari tulisan - tulisannya di koran nasional.menarik untuk dibaca. terlebih lagi lewat penggambarannya sebagai mahasiswa pada era orde lama, Gie dapat membawa kita menyelami kehidupan rakyat Indonesi"
"Hafalan Shalat Delisa","Tere Liye",12215,4.23,736,248,2007,2005,"Republika","Delisa, Aisyah, Zahra, Fatimah","Indonesian",NA,"Lhok Nga,2004(Indonesia)","Delisa anak perempuan yang bermata hijau, bening dan umurnya baru mencecah lima tahun. Dia hidup dalam keluarganya yang sebegitu, dia cuba menghafal bacaan dalam solat dengan bantuan ibu dan kakaknya.Namun Tuhan lebih tahu apa yang lebih baik untuk hamba-Nya. Tsunami datang melumatka senyuman pada wajah Delisa. Tsunami mengambil segala-galanya, keluarga juga kaki kecilnya."
"Burung-Burung Manyar","Y.B. Mangunwijaya",11114,4.12,323,320,2004,1981,"Djambatan","Setadewa (Teto), Larasati (Atik)","Indonesian",NA,"Indonesia","Novel Burung-burung Manyar dapat dibaca sebagai bentuk proyek pasca-kolonial. Novel ini berusaha untuk mencari penyimpangan yang terjadi dalam penulisan sejarah Revolusi Indonesia. Sejarah dalam novel Burung-burung Manyar diceritakan secara mengalir dengan beberapa masukan anekdot. Sejarah tidak disampaikan dengan nada otoriter.Sejarah dicerita melalui kisah cinta seorang"
"Sitti Nurbaya: Kasih Tak Sampai","Marah Rusli",10628,3.75,138,295,1965,1922,"Balai Pustaka",NA,"Indonesian",NA,NA,"Marah Rusli adalah contoh sastrawan besar Indonesia yang benar-benar melampaui zamannya. Ia terus hidup, bersama keindahan cinta Sitti Nurbaya dan Samsulbahri, bersama kenangan dan kebencian orang-orang terhadap peringai Datunk Meringgih yang licik, akan tetapi sekaligus memesona.Berkali-kali buku Sitti Nurbaya dibaca, berkali-kali pula ditemukan keindahan yang berbeda. Be"
"Bidadari Bidadari Surga","Tere Liye",10578,4.29,552,365,2008,NA,"Republika",NA,"Indonesian",NA,"Indonesia","Bidadari-Bidadari Surga bercerita tentang pengorbanan seorang kakak (Laisa) untuk adik-adiknya (Dalimunte, Ikanuri, Wibisana dan Yashinta) di Lembah Lahambay agar adik-adiknya dapat melanjutkan pendidikan mereka, meski ia harus bekerja di terik matahari setiap hari, mengolah gula aren setiap jam 4 pagi serta dimalam hari menganyam rotan, meski pada dasarnya keempat adik-ad"
"Saman","Ayu Utami",9649,3.61,587,197,2001,1998,"KPG",NA,"Indonesian","Saman #1",NA,"Saman is a story filtered through the lives of its feisty female protagonists and the enigmatic “hero” Saman. It is at once an exposé of the oppression of plantation workers in South Sumatra, a lyrical quest to understand the place of religion and spirituality in contemporary lives, a playful exploration of female sexuality and a story about love in all its guises, while t"
"Supernova: Akar","Dee Lestari",9452,3.81,669,202,2002,2002,"Truedee Books","Bodhi, Gio, Diva","Indonesian","Supernova #2",NA,"Talita LunaKesejatian hidup ada pada batu kerikil yang tertendang ketika kau melangkahmenyusuri jalan. Kesejatian hidup ada pada selembar daun kering yang gugurtertiup angin. Kesejatian hidup ada air susu ibu yang yang merelakan putingpayudaranya diisap oleh bayi manapun. DiVihara Pit Yong Kiong, Pasuruan, di pelabuhan Belawan, di Penang, diBangkok, di Laos, di Golden Tria"
"Ketika Cinta Bertasbih","Habiburrahman El-Shirazy",8602,3.7,487,477,2007,NA,"Republika","Khairul Azzam, Eliana, Furqan, Anna Althafunnisa","Indonesian",NA,"Egypt","Entah kenapa tiba-tiba ia merasa berdosa. Ia merasa berdosa dan jijik pada dirinya sendiri yang begitu rapuh, mudah terperdaya oleh tampilan luar yang menipu. Ia jijik pada dirinya sendiri yang ia rasa terlalu cair pada lawan jenis yang belum halal baginya. Ia hairan sendiri kenapa jati dirinya seolah pudar saat berhadapan atau berdekatan dengan Eliana. Apakah telah sedemi"
"Di Bawah Lindungan Ka'bah","Hamka",8459,4.05,246,56,1995,1938,"Bulan Bintang",NA,"Indonesian",NA,"Indonesia","... Maksud yang engkau terangkat itu, amat saya setujui, itulah suatu maksud yang baik, sebab itu adalah suatu hikayat dan kejadian yang mendukakan hati dan merawankan pikiran, yang kerap kali benar kejadian dalam kalangan pemuda-pemudi kita.... Demi bila buku itu telah selesai, kirimkanlah kiranya kepadaku barang senaskah, guna menghidangkan kenang-kenanganku kepada masa"
"Salah Asuhan","Abdoel Moeis",8375,3.68,106,262,2000,1928,"Balai Pustaka",NA,"Indonesian",NA,"Indonesia","Novel ini dianggap sebagai karya monumental terbaik dalam bidang sastra Indonesia yang memulai babak modern. Dahulu novel Salah Asuhan ini sempat ditolak diterbitkan oleh Balai Pustaka dan kemudian ditulis kembali dengan menampilkan karakter Eropa yang baik pada jaman itu. Memang saat itu Balai Pustaka hanya mengijinkan buku “putih” untuk dicetak. Yakni buku yang tidak ada"
"Rectoverso","Dee Lestari",8167,3.87,693,148,2008,NA,"Goodfaith",NA,"Indonesian",NA,"Indonesia","Dewi Lestari yang bernama pena Dee, kali ini hadir dengan mahakarya unik dan pertama di Indonesia. ""Rectoverso"" merupakan hibrida dari fiksi dan musik, terdiri dari sebelas cerita pendek dan sebelas lagu yang bisa dinikmati secara terpisah maupun bersama-sama. Keduanya saling melengkapi bagaikan dua imaji yang seolah berdiri sendiri tapi sesungguhnya merupakan satu kesatua"
"Atheis","Achdiat K. Mihardja",7867,3.85,161,180,1972,1949,"University of Queensland Press","Hasan, Kartini, saya","English",NA,NA,"Roman Atheis mengetengahkan perkembangan yang khas bagi masyarakat Indonesia sejak permulaan abad kedua puluh, yakni pergeseran gaya hidup tradisional ke gaya hidup modern. Pergeseran itu membawa serta perselisihan dan bentrokan antara paham-paham lama dan baru, terjadi khususnya di lapangan sosial budaya dan politik. Perkembangan di dalam masyarakat tidak luput meninggalk"
"Tangkaplah Daku, Kau Kujitak!","Hilman Hariwijaya",7433,3.53,106,104,2007,NA,"PT Gramedia Pustaka Utama",NA,"Indonesian","Lupus #1","Jakarta(Indonesia)",NA
"Maryamah Karpov: Mimpi-mimpi Lintang","Andrea Hirata",7394,3.63,657,504,2008,NA,"Bentang Pustaka","Ikal, Lintang, A Ling, Mahar, Tuk Bayan Tula","Indonesian","Tetralogi Laskar Pelangi #4","Yogyakarta,2008(Indonesia)","Keberanian dan keteguhan hati telah membawa Ikal pada banyak tempat dan peristiwa. Sudut-sudut dunia telah dia kunjungi demi menemukan A Ling. Apa pun Ikal lakukan demi perempuan itu. Keberaniannya ditantang ketika tanda-tanda keberadaan A Ling tampak. Dia tetap mencari, meski tanda-tanda itu masih samar.Dapatkah keduanya bertemu kembali?-"
"Tenggelamnya Kapal Van Der Wijck","Hamka",7386,4.19,514,188,1987,1937,"Pustaka Dini","Hayati, Zainudin","Indonesian",NA,NA,"Cerita ini berkisar tentang semangat juang Zainuddin, bagaimana merana dan melaratnya hidup Zainuddin setelah cintanya ditolak oleh keluarga Hayati. Kemudian beliau bangun semula dari segala kedukaan, membuka lembaran baru dalam hidupnya menjadi seorang penulis yang ternama dan berjaya. Ia menceritakan tentang kesetiaan, cinta dan kasihnya Zainuddin terhadap Hayati. Meski"
"Hujan Bulan Juni","Sapardi Djoko Damono",7172,4.22,332,120,2003,NA,"Grasindo",NA,"Indonesian",NA,NA,"Hujan Bulan Juni pertama kali diterbitkan oleh Grasindo tahun 1994 dan telah dicetak ulang beberapa kali. Tidak ada perubahan penting dalam buku terbitan editum ini, kecuali penambahan dan penghapusan beberapa sajak berdasarkan pertimbangan praktis. Sajak-sajak dalam buku ini dipilih dari beberapa buku puisi yang pernah terbit sebelumnya, yakni duka-Mu abadi (1969), Mata P"
"Kambing Jantan: Sebuah Catatan Harian Pelajar Bodoh","Raditya Dika",7167,3.6,690,236,2005,NA,"Gagas Media",NA,"Indonesian",NA,NA,"Blogs/Journal Book"
"Habis Gelap Terbitlah Terang","Raden Adjeng Kartini",7105,4.03,98,214,1912,NA,"Balai Pustaka",NA,"Indonesian",NA,NA,"Buku ini berisi/menceritakan perjalanan hidup seorang pahlawan wanita R.A Kartini, dan surat-suratnya yang ia tujukan kepada saudari dan sahabat-sahabatnya. Adapun isi dari surat-surat itu adalah tentang cita-citanya untuk memajukan kaum wanita, harapan-harapanya dan perjalanan hidupnya."
"Para Priyayi: Sebuah Novel","Umar Kayam",7030,4.15,167,308,1992,NA,"Pustaka Utama Grafiti","Sudarsono, Ndoro Seten, Lantip","Indonesian","Para Priyayi #1",NA,"Novel ini bercerita tentang Soedarsono seorang anak dari keluarga buruh tani yang oleh orang tua dan sanak saudaranya diharapkan dapat menjadi “sang pemula” untuk membangun dinasti keluarga priyayi kecil. Berkat dorongan Asisten Wedana Ndoro Seten ia bisa sekolah dan kemudian menjadi guru desa.Dari sinilah ia memasuki dunia elite birokrasi sebagai priyayi pangreh praja. Ke"
"Ketika Cinta Bertasbih: Episode 2","Habiburrahman El-Shirazy",7013,3.73,291,412,2007,NA,"Republika - Basmala",NA,"Indonesian",NA,"Indonesia",NA
"The Naked Traveler","Trinity",6994,3.8,433,282,2007,NA,"C Publishing",NA,"Indonesian","Naked Traveler #1",NA,"Ada banyak kisah menarik yang dituturkan dengan gaya bahasa yang santai dan ringan oleh Trinity dalam buku ini. Lucu, sedih, mendebarkan, bahkan menyebalkan. Semua itu menjadi bumbu sedap dalam pengalamannya menjadi "" Backpacker "" yang melanglang buana ke berbagai tempat, baik di dalam maupun diluar negeri.Membaca buku ini, kita akan memperoleh bermacam informasi tentang k"
"Filosofi Kopi: Kumpulan Cerita dan Prosa Satu Dekade","Dee Lestari",6885,3.83,945,134,2007,2006,"Truedee Books & Gagas Media",NA,"Indonesian",NA,NA,"Pemaknaan kembali kembali kopi, Buddha, Herman, surat tak tarkirimkan, cinta sejenis yang manis atau apa pun, membuktikan Dee tetap memesona. Kalau kemarin panitia Nobel sastra masih maju mundur dengan nama Pramoedya, sekarang bisa memaknai kembali, melalui karya-karya ini.Ruang cerpen yang sempit dijadikannya wahana yang intens namun tidak sesak untuk mengungkapkan apa ya"
"Supernova: Petir","Dee Lestari",6409,3.89,668,201,2004,NA,"AKOER - Andal Krida Nusantara",NA,"Indonesian","Supernova #3",NA,"Tak ada cara untuk menggambarkannya dengan tepat. Tapi coba bayangkan ada sepuluh ribu ikan piranha yang menyergapmu langsung. Kau tak mungkin berpikir. Tak mungin mengucapkan kalimat perpisahan apalagi membacakan wasiat. Lupakan untuk berpisah dengan manis dan mesra seperti di film-film. Listrik membunuhmu dengan sensasi. Begitu dashyatnya. engkau hanya mampu terkulai lem"
"House of Glass","Pramoedya Ananta Toer",6174,4.3,250,384,1997,1988,"Penguin Books","Minke, Jacques Pangemanann","English","Tetralogi Buru #4",NA,"With House Of Glass comes the final chapter of Pramoedya's epic quartet, set in the Dutch East Indies at the turn of the century. A novel of heroism, passion, and betrayal, it provides a spectacular conclusion to a series hailed as one of the great works of modern literature. At the start of House of Glass, Minke, writer and leader of the dissident movement, is now impriso"
"Madilog","Tan Malaka",6080,4.22,125,539,2000,1946,"Teplok Press",NA,"Indonesian",NA,NA,"Ditulis di Rajawati dekat pabrik sepatu Kalibata, Cililitan, Jakarta. Di sini saya berdiam dari 15 Juli 1942 sampai pertengahan tahun 1943. Mempelajari keadaan kota dan kampung Indonesia yang lebih dari 20 tahun ditinggalkan.Pengantar Penulis pada halaman awal Madilog."
"Layar Terkembang","Sutan Takdir Alisjahbana",5777,3.71,122,NA,1990,1936,"Balai Pustaka",NA,"Indonesian",NA,NA,"Selagi Maria dan Yusuf menjalin percintaan yang mans, Tuti bergelut dengan dirinya sendiri; apakah akan menikah dengan orang yang tidak dicintainya hanya karena alasan usianya yang semakin bertambah, atau tetap memegang prinsip: lebih baik tidak menikah daripada mendapatkan suami yang tidak sepandangan dan tidak sepaham.Hubungan Maria dan Yusuf makin mendalam, ketika tiba-"
"Rembulan Tenggelam Di Wajahmu","Tere Liye",5706,4.28,777,NA,2009,2009,"Penerbit Republika","Ray, Rehan, Gigi Kelinci","Indonesian",NA,NA,"Tutup mata kita. Tutup pikiran kita dari carut- marut kehidupan. Mari berpikir takjim sejenak. Bayangkan saat ini ada satu malaikat bersayap indah datang kepada kita, lantas lembut berkata: Aku memberikan kau kesempatan hebat. Lima kesempatan untuk bertanya tentang rahasia kehidupan, dan aku akan menjawabnya langsung sekarang. Lima Pertanyaan. Lima jawaban. Apakah pertanya"
"Padang Bulan","Andrea Hirata",5646,3.83,394,254,2010,2010,"Bentang Pustaka",NA,"Indonesian","Padang Bulan #1",NA,"Melalui pergolakan nasib seorang perempuan dan huru-hara kecemburuan, Andrea Hirata kembali memilih sudut yang tidak terduga untuk menampilkan kisah yang inspiratif tentang kegigihan karakter-karakter di dalam novelnya. Novel Padang Bulan bermula dari kisah seorang gadis kecil berusia 14 tahun, Enong namanya, yang sangat gemar pada pelajaran bahasa Inggris, namun secara me"
"Gadis Pantai","Pramoedya Ananta Toer",5544,4.05,398,232,2000,1962,"Hasta Mitra",NA,"Indonesian",NA,NA,"""...Roman ini menusuk feodalisme Jawa yang tak memiliki adab dan jiwa kemanusiaan tepat langsung di jantungnya yang paling dalam."""
"Ca Bau Kan: Hanya Sebuah Dosa","Remy Sylado",5357,3.8,94,404,2001,NA,"KPG",NA,"Indonesian",NA,NA,"Kisah tentang perjuangan sepasang anak manusia beda etnis pada masa-masa akhir Hindia-Belanda sampai perjuangan kemerdekaan Indonesia..."
"Ranah 3 Warna","Ahmad Fuadi",5346,4.13,512,473,2011,NA,"Gramedia Pustaka Utama","Alif, Randai, Raisa, Rusdi, Kiai Rais, Ayah, Amak, Bang Togar, Shahibul Menara","Indonesian","Negeri 5 Menara #2",NA,"Alif baru saja tamat dari Pondok Madani. Dia bahkan sudah bisa bermimpi dalam bahasa Arab dan Inggris. Impiannya? Tinggi betul. Ingin belajar teknologi tinggi di Bandung seperti Habibie, lalu merantau sampai ke Amerika.Dengan semangat menggelegak dia pulang ke Maninjau dan tak sabar ingin segera kuliah. Namun kawan karibnya, Randai, meragukan dia mampu lulus UMPTN. Lalu di"
"Daun Yang Jatuh Tak Pernah Membenci Angin","Tere Liye",5280,3.99,1000,264,2010,NA,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Dia bagai malaikat bagi keluarga kami. Merengkuh aku, adikku, dan Ibu dari kehidupan jalanan yang miskin dan nestapa. Memberikan makan, tempat berteduh, sekolah, dan janji masa depan yang lebih baik.Dia sungguh bagai malaikat bagi keluarga kami. Memberikan kasih sayang, perhatian, dan teladan tanpa mengharap budi sekali pun. Dan lihatlah, aku membalas itu semua dengan memb"
"Arus Balik","Pramoedya Ananta Toer",5050,4.34,136,760,1995,NA,"Hasta Mitra",NA,"Indonesian",NA,NA,"Semasa jayanya Majapahit, Nusantara merupakan kesatuan maritim dan kerajaan laut terbesar di antara bangsa-bangsa beradab di muka bumi. Arus bergerak dari selatan ke utara, segalanya: kapal-kapalnya, manusianya, amal perbuatannya dan cita-citanya, semua bergerak dari Nusantara di selatan ke 'Atas Angin' di utara. Tapi zaman berubah...Arus berbalik -- bukan lagi dari selata"
"Pada Sebuah Kapal","Nh. Dini",4981,3.64,91,351,1985,NA,"PT. Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Setelah tunangannya (Saputro) tewas dalam kecelakaan pesawat terbang, akhirnya Sri menikah dengan Charles Vincent. Pasangan ini kemudian bermukim di Kobe, Jepang. Meskipun sudah memperoleh seorang anak dari diplomat Perancis itu, Sri sesungguhnya tidak merasa bahagia.Tidak dinyana, dalam perjalanan liburan dari Saigon menuju Marseille, Sri menemukan kembali kemesraan dan k"
"Cinta di Dalam Gelas","Andrea Hirata",4978,3.97,299,270,2010,NA,"Bentang Pustaka","Ikal, A Ling, Enong, Zamzami, Detektif M. Nur","Indonesian","Padang Bulan #2",NA,"CINTA DI DALAM GELAS bertutur tentang tugas berat di pundak Ikal. Dia harus membantu Maryamah memenangkan pertandingan catur saat 17 Agustus nanti. Maryamah, yang menyentuh bidak catur saja belum pernah, harus mengalahkan juara catur selama dua tahun berturut-turut yang sekaligus juga mantan suaminya. Namun, lebih dari itu, jenis kelamin Maryamah menjadi tantangan berat un"
"Harimau! Harimau!","Mochtar Lubis",4975,3.95,216,214,1999,1975,"Yayasan Obor Indonesia","Buyung, Wak Katok, Pak Haji, Sanip, Sutan...more, Talib, Pak Balam...less","Indonesian",NA,"Indonesia","Harimau! Harimau! telah mendapat Hadiah Yayasan Buku Utama sebagai buku penulisan sastra terbaik tahun 1975.Buku ini dapat dibaca sebagai sebuah cerita petualangan di rimba raya oleh sekelompok pengumpul damar yang diburu oleh seekor harimau yang kelaparan. Berhari-hari mereka mencoba menyelamatkan diri mereka dan seorang demi seorang di antara mereka jatuh menjadi korban"
"Rahasia Meede: Misteri Harta Karun VOC","E.S. Ito",4946,4.02,256,675,2007,NA,"Hikmah","Kalek, Batu, Cathleen","Indonesian",NA,"Indonesia","Sebuah terowongan tua ditemukan di perut bumi Jakarta. Pintu masuknya terletak dalam Museum Sejarah Jakarta. Rutenya diyakini menuju tempat persembunyian emas VOC.Sementara itu, di atas permukaan, Jakarta dicekam oleh teror pembunuhan misterius. Satu per satu orang penting ditemukan tewas mengenaskan, di tempat-tempat berawalan huruf B, disertai pesan aneh berupa Tujuh Dos"
"Rara Mendut: Sebuah Trilogi","Y.B. Mangunwijaya",4849,4.19,42,806,2008,2008,"PT Gramedia Pustaka Utama","Lusi Lindri, Rara Mendut","Indonesian","Trilogi Roro Mendut #1-3",NA,"Rara Mendut, budak rampasan yang menolak diperistri oleh Tumenggung Wiraguna demi cintanya kepada Pranacitra. Dibesarkan di kampung nelayan pantai utara Jawa, ia tumbuh menjadi gadis yang trengginas dan tak pernah ragu menyuarakan isi pikirannya. Sosoknya dianggap nyebal tatanan di lingkungan istana di mana perempuan diharuskan bersikap serba halus dan serba patuh. Tetapi"
"Jejak Langkah","Pramoedya Ananta Toer",4794,4.35,338,724,2007,1985,"Lentera Dipantera","Minke, Ang San Min, Jacques Pangemanann","Indonesian","Tetralogi Buru #3",NA,"Kehadiran roman sejarah ini, bukan saja dimaksudkan untuk mengisi sebuah episode berbangsa yang berada di titik persalinan yang pelik dan menentukan, namun juga mengisi isu kesusastraan yang sangat minim menggarap periode pelik ini. Karena itu hadirnya roman ini memberi bacaan alternatif kepada kita untuk melihat jalan dan gelombang sejarah secara lain dan dari sisinya yan"
"Child of All Nations","Pramoedya Ananta Toer",4269,4.37,434,352,1996,1975,"Penguin Books","Minke, Nyai Ontosoroh, Khouw Ah Soe","English","Tetralogi Buru #2","Indonesia","In Child of All Nations, the reader is immediately swept up by a story that is profoundly feminist, devastatingly anticolonialist—and full of heartbreak, suspense, love, and fury. Pramoedya immerses the reader in a world that is astonishing in its vividness: the cultural whirlpool that was the Dutch East Indies of the 1890s. A story of awakening, it follows Minke, the main"
"Negeri Para Bedebah","Tere Liye",4253,4.29,731,440,2012,NA,"Gramedia Pustaka Utama",NA,"Indonesian","Negeri Para Bedebah #1",NA,"Di negeri para bedebah, kisah fiksi kalah seru dibanding kisah nyata.Di negeri para bedebah, musang berbulu domba berkeliaran di halaman rumah.Tetapi setidaknya, Kawan, di negeri para bedebah, petarung sejati tidak akan pernah berkhianat."
"Muhammad: Lelaki Penggenggam Hujan","Tasaro G.K.",3891,4.36,248,546,2010,2010,"Bentang Pustaka",NA,"Indonesian","Muhammad #1",NA,"Kashva pergi dari Suriah, meninggalkan Khosrou, sang penguasa Persia tempatnya mengabdikan hidup demi menemukan lelaki itu: Muhammad. Al-Amin yang kelahirannya akan membawa rahmat bagi semesta alam, pembela kaum papa, penguasa yang adil kepada rakyatnya.Kehidupan Kashva setelah itu berubah menjadi pelarian penuh kesakitan dan pencarian yang tiada henti terhadap sosok yang"
"Anak Bajang Menggiring Angin","Sindhunata",3863,4.23,122,363,1983,NA,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"""Terimalah perhiasanku ini, Nak,"" kata Dewi Sukesi. Dan perempuan tua ini pun mengalungkan untaian kembang kenanga di dada Kumbakarna! Mendadak alam pun membalik ke masa lalu. Tanpa malu-malu. Jeritan kedukaan menjadi madah syukur sukacita. Bermain-main anak-anak bajang di tepi pantai, padahal kematian sedang berjalan mengintai-intai. Gelombang lautan hendak menelan anak-a"
